codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
92,2025-06-06,NXM-72273-96,Leche,91,UNI,3
85,2025-06-06,YZK-06087-98,Pan,21,PAQ,3
79,2025-06-06,SZJ-76414-24,Arroz,23,UNI,3
86,2025-06-06,LEK-96807-82,Azúcar,96,UNI,3
96,2025-06-06,GET-58791-09,Aceite,5,PAQ,3
85,2025-06-06,HGA-86693-42,Harina,17,PAQ,3
91,2025-06-06,FHG-40571-57,Sal,9,PAQ,3
78,2025-06-06,BWL-77714-70,Café,134,UNI,3
90,2025-06-06,PQX-59844-04,Té,26,UNI,3
94,2025-06-06,ORZ-56803-77,Galletas,18,PAQ,3
