codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
93,2025-05-17,NXM-72273-96,Leche,0,PAQ,3
98,2025-05-17,YZK-06087-98,Pan,0,PAQ,3
78,2025-05-17,SZJ-76414-24,Arroz,7,PAQ,3
76,2025-05-17,LEK-96807-82,Azúcar,5,PAQ,3
77,2025-05-17,GET-58791-09,Aceite,43,UNI,3
90,2025-05-17,HGA-86693-42,Harina,38,UNI,3
84,2025-05-17,FHG-40571-57,Sal,0,PAQ,3
77,2025-05-17,BWL-77714-70,Café,0,UNI,3
99,2025-05-17,PQX-59844-04,Té,80,UNI,3
83,2025-05-17,ORZ-56803-77,Galletas,27,PAQ,3
