codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
81,2025-04-23,NXM-72273-96,Leche,0,PAQ,3
82,2025-04-23,YZK-06087-98,Pan,3,PAQ,3
90,2025-04-23,SZJ-76414-24,Arroz,0,PAQ,3
78,2025-04-23,LEK-96807-82,Azúcar,0,UNI,3
88,2025-04-23,GET-58791-09,Aceite,0,PAQ,3
76,2025-04-23,HGA-86693-42,Harina,1,UNI,3
97,2025-04-23,FHG-40571-57,Sal,0,UNI,3
78,2025-04-23,BWL-77714-70,Café,0,PAQ,3
100,2025-04-23,PQX-59844-04,Té,0,UNI,3
89,2025-04-23,ORZ-56803-77,Galletas,0,PAQ,3
