codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
78,2025-06-02,NXM-72273-96,Leche,35,UNI,3
84,2025-06-02,YZK-06087-98,Pan,108,UNI,3
81,2025-06-02,SZJ-76414-24,Arroz,94,UNI,3
94,2025-06-02,LEK-96807-82,Azúcar,7,PAQ,3
87,2025-06-02,GET-58791-09,Aceite,115,UNI,3
84,2025-06-02,HGA-86693-42,Harina,11,UNI,3
95,2025-06-02,FHG-40571-57,Sal,81,UNI,3
91,2025-06-02,BWL-77714-70,Café,6,PAQ,3
92,2025-06-02,PQX-59844-04,Té,55,UNI,3
98,2025-06-02,ORZ-56803-77,Galletas,20,PAQ,3
