codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
84,2025-06-04,NXM-72273-96,Leche,2,PAQ,3
79,2025-06-04,YZK-06087-98,Pan,96,UNI,3
76,2025-06-04,SZJ-76414-24,Arroz,75,UNI,3
81,2025-06-04,LEK-96807-82,Azúcar,32,PAQ,3
80,2025-06-04,GET-58791-09,Aceite,18,PAQ,3
79,2025-06-04,HGA-86693-42,Harina,48,UNI,3
92,2025-06-04,FHG-40571-57,Sal,89,UNI,3
78,2025-06-04,BWL-77714-70,Café,21,UNI,3
99,2025-06-04,PQX-59844-04,Té,3,PAQ,3
100,2025-06-04,ORZ-56803-77,Galletas,88,UNI,3
