codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
94,2025-05-22,NXM-72273-96,Leche,87,UNI,3
83,2025-05-22,YZK-06087-98,Pan,90,UNI,3
86,2025-05-22,SZJ-76414-24,Arroz,83,UNI,3
98,2025-05-22,LEK-96807-82,Azúcar,98,UNI,3
89,2025-05-22,GET-58791-09,Aceite,4,PAQ,3
89,2025-05-22,HGA-86693-42,Harina,20,UNI,3
93,2025-05-22,FHG-40571-57,Sal,33,UNI,3
81,2025-05-22,BWL-77714-70,Café,46,UNI,3
97,2025-05-22,PQX-59844-04,Té,89,UNI,3
82,2025-05-22,ORZ-56803-77,Galletas,1,PAQ,3
