codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
127,2025-06-05,NXM-72273-96,Leche,30,PAQ,5
128,2025-06-05,YZK-06087-98,Pan,37,PAQ,5
150,2025-06-05,SZJ-76414-24,Arroz,17,UNI,5
135,2025-06-05,LEK-96807-82,Azúcar,87,UNI,5
133,2025-06-05,GET-58791-09,Aceite,98,UNI,5
139,2025-06-05,HGA-86693-42,Harina,4,PAQ,5
129,2025-06-05,FHG-40571-57,Sal,115,UNI,5
126,2025-06-05,BWL-77714-70,Café,23,UNI,5
129,2025-06-05,PQX-59844-04,Té,26,PAQ,5
129,2025-06-05,ORZ-56803-77,Galletas,113,UNI,5
