codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
129,2025-05-16,NXM-72273-96,Leche,24,UNI,5
140,2025-05-16,YZK-06087-98,Pan,40,UNI,5
145,2025-05-16,SZJ-76414-24,Arroz,67,UNI,5
147,2025-05-16,LEK-96807-82,Azúcar,0,PAQ,5
145,2025-05-16,GET-58791-09,Aceite,0,PAQ,5
144,2025-05-16,HGA-86693-42,Harina,77,UNI,5
134,2025-05-16,FHG-40571-57,Sal,47,UNI,5
138,2025-05-16,BWL-77714-70,Café,0,PAQ,5
148,2025-05-16,PQX-59844-04,Té,15,PAQ,5
143,2025-05-16,ORZ-56803-77,Galletas,41,UNI,5
