codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
149,2025-05-17,NXM-72273-96,Leche,0,UNI,5
146,2025-05-17,YZK-06087-98,Pan,74,UNI,5
131,2025-05-17,SZJ-76414-24,Arroz,25,UNI,5
135,2025-05-17,LEK-96807-82,Azúcar,78,UNI,5
139,2025-05-17,GET-58791-09,Aceite,63,UNI,5
138,2025-05-17,HGA-86693-42,Harina,13,PAQ,5
131,2025-05-17,FHG-40571-57,Sal,0,PAQ,5
133,2025-05-17,BWL-77714-70,Café,0,PAQ,5
138,2025-05-17,PQX-59844-04,Té,5,PAQ,5
146,2025-05-17,ORZ-56803-77,Galletas,4,UNI,5
