codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
144,2025-05-05,NXM-72273-96,Leche,0,PAQ,5
126,2025-05-05,YZK-06087-98,Pan,0,UNI,5
132,2025-05-05,SZJ-76414-24,Arroz,52,UNI,5
139,2025-05-05,LEK-96807-82,Azúcar,0,PAQ,5
148,2025-05-05,GET-58791-09,Aceite,1,PAQ,5
147,2025-05-05,HGA-86693-42,Harina,12,UNI,5
150,2025-05-05,FHG-40571-57,Sal,9,PAQ,5
143,2025-05-05,BWL-77714-70,Café,0,PAQ,5
149,2025-05-05,PQX-59844-04,Té,3,UNI,5
128,2025-05-05,ORZ-56803-77,Galletas,0,UNI,5
