codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
140,2025-05-23,NXM-72273-96,Leche,0,PAQ,5
137,2025-05-23,YZK-06087-98,Pan,19,PAQ,5
131,2025-05-23,SZJ-76414-24,Arroz,0,PAQ,5
140,2025-05-23,LEK-96807-82,Azúcar,28,UNI,5
137,2025-05-23,GET-58791-09,Aceite,0,PAQ,5
130,2025-05-23,HGA-86693-42,Harina,36,UNI,5
134,2025-05-23,FHG-40571-57,Sal,29,UNI,5
150,2025-05-23,BWL-77714-70,Café,20,PAQ,5
149,2025-05-23,PQX-59844-04,Té,43,UNI,5
127,2025-05-23,ORZ-56803-77,Galletas,7,PAQ,5
