codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
142,2025-04-27,NXM-72273-96,Leche,0,PAQ,5
141,2025-04-27,YZK-06087-98,Pan,9,PAQ,5
133,2025-04-27,SZJ-76414-24,Arroz,2,PAQ,5
134,2025-04-27,LEK-96807-82,Azúcar,0,PAQ,5
150,2025-04-27,GET-58791-09,Aceite,0,UNI,5
137,2025-04-27,HGA-86693-42,Harina,0,UNI,5
148,2025-04-27,FHG-40571-57,Sal,1,PAQ,5
147,2025-04-27,BWL-77714-70,Café,0,PAQ,5
136,2025-04-27,PQX-59844-04,Té,0,UNI,5
135,2025-04-27,ORZ-56803-77,Galletas,0,PAQ,5
