codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
127,2025-05-15,NXM-72273-96,Leche,68,UNI,5
128,2025-05-15,YZK-06087-98,Pan,0,PAQ,5
137,2025-05-15,SZJ-76414-24,Arroz,15,UNI,5
140,2025-05-15,LEK-96807-82,Azúcar,53,UNI,5
145,2025-05-15,GET-58791-09,Aceite,10,PAQ,5
144,2025-05-15,HGA-86693-42,Harina,15,PAQ,5
145,2025-05-15,FHG-40571-57,Sal,20,PAQ,5
133,2025-05-15,BWL-77714-70,Café,0,PAQ,5
144,2025-05-15,PQX-59844-04,Té,5,PAQ,5
133,2025-05-15,ORZ-56803-77,Galletas,42,UNI,5
