codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
128,2025-04-26,NXM-72273-96,Leche,2,UNI,5
136,2025-04-26,YZK-06087-98,Pan,0,PAQ,5
144,2025-04-26,SZJ-76414-24,Arroz,0,PAQ,5
132,2025-04-26,LEK-96807-82,Azúcar,1,UNI,5
145,2025-04-26,GET-58791-09,Aceite,5,UNI,5
150,2025-04-26,HGA-86693-42,Harina,0,PAQ,5
147,2025-04-26,FHG-40571-57,Sal,0,PAQ,5
126,2025-04-26,BWL-77714-70,Café,0,UNI,5
139,2025-04-26,PQX-59844-04,Té,0,PAQ,5
141,2025-04-26,ORZ-56803-77,Galletas,0,PAQ,5
