codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
150,2025-04-16,NXM-72273-96,Leche,0,PAQ,5
143,2025-04-16,YZK-06087-98,Pan,0,PAQ,5
147,2025-04-16,SZJ-76414-24,Arroz,0,UNI,5
132,2025-04-16,LEK-96807-82,Azúcar,0,PAQ,5
141,2025-04-16,GET-58791-09,Aceite,1,PAQ,5
130,2025-04-16,HGA-86693-42,Harina,0,UNI,5
146,2025-04-16,FHG-40571-57,Sal,0,UNI,5
145,2025-04-16,BWL-77714-70,Café,0,PAQ,5
140,2025-04-16,PQX-59844-04,Té,0,PAQ,5
145,2025-04-16,ORZ-56803-77,Galletas,0,PAQ,5
