codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
139,2025-06-06,NXM-72273-96,Leche,29,PAQ,5
129,2025-06-06,YZK-06087-98,Pan,23,PAQ,5
148,2025-06-06,SZJ-76414-24,Arroz,4,PAQ,5
139,2025-06-06,LEK-96807-82,Azúcar,125,UNI,5
139,2025-06-06,GET-58791-09,Aceite,5,PAQ,5
131,2025-06-06,HGA-86693-42,Harina,98,UNI,5
142,2025-06-06,FHG-40571-57,Sal,1,PAQ,5
150,2025-06-06,BWL-77714-70,Café,21,PAQ,5
135,2025-06-06,PQX-59844-04,Té,2,PAQ,5
132,2025-06-06,ORZ-56803-77,Galletas,78,UNI,5
