codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
107,5180,2025-05-27,NXM-72273-96,20,8979.54,CEX,4
108,6817,2025-05-27,YZK-06087-98,33,23702.38,EFE,4
116,2952,2025-05-27,SZJ-76414-24,36,26827.11,EFE,4
105,1798,2025-05-27,LEK-96807-82,12,8677.33,EFE,4
105,7605,2025-05-27,GET-58791-09,18,8379.79,CEX,4
102,4321,2025-05-27,HGA-86693-42,8,4383.0,EFE,4
110,4524,2025-05-27,FHG-40571-57,3,933.15,EFE,4
125,5336,2025-05-27,BWL-77714-70,42,16312.91,CEX,4
117,3965,2025-05-27,PQX-59844-04,7,3177.07,CEX,4
124,9916,2025-05-27,ORZ-56803-77,17,7796.03,EFE,4
