codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
124,1352,2025-06-06,NXM-72273-96,2,737.73,CEX,4
109,8795,2025-06-06,YZK-06087-98,13,4063.27,CEX,4
117,9863,2025-06-06,SZJ-76414-24,23,12077.53,CEX,4
106,1162,2025-06-06,LEK-96807-82,22,13965.85,CEX,4
111,8204,2025-06-06,GET-58791-09,16,6877.69,EFE,4
103,9228,2025-06-06,HGA-86693-42,4,2190.78,CEX,4
124,4437,2025-06-06,FHG-40571-57,10,5986.77,EFE,4
109,1438,2025-06-06,BWL-77714-70,10,4425.71,CEX,4
115,4746,2025-06-06,PQX-59844-04,9,6383.43,CEX,4
115,2300,2025-06-06,ORZ-56803-77,33,24227.36,CEX,4
