codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
119,9073,2025-06-09,NXM-72273-96,21,6630.68,EFE,4
118,8662,2025-06-09,YZK-06087-98,42,13249.84,EFE,4
105,8897,2025-06-09,SZJ-76414-24,13,9931.54,EFE,4
105,8572,2025-06-09,LEK-96807-82,37,24110.27,CEX,4
111,7500,2025-06-09,GET-58791-09,35,15696.57,CEX,4
122,7676,2025-06-09,HGA-86693-42,22,14898.26,CEX,4
109,8328,2025-06-09,FHG-40571-57,15,10411.72,CEX,4
120,8817,2025-06-09,BWL-77714-70,33,13082.47,EFE,4
108,2139,2025-06-09,PQX-59844-04,9,3474.93,EFE,4
124,6283,2025-06-09,ORZ-56803-77,14,10088.58,CEX,4
