codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
109,8495,2025-04-23,NXM-72273-96,14,7367.9,CEX,4
122,3555,2025-04-23,YZK-06087-98,45,18684.11,CEX,4
111,9748,2025-04-23,SZJ-76414-24,6,2694.67,EFE,4
105,7077,2025-04-23,LEK-96807-82,19,8833.33,CEX,4
121,6188,2025-04-23,GET-58791-09,40,11708.15,EFE,4
112,4881,2025-04-23,HGA-86693-42,17,6450.61,CEX,4
107,5671,2025-04-23,FHG-40571-57,30,10684.15,EFE,4
108,7813,2025-04-23,BWL-77714-70,18,14135.58,EFE,4
106,6419,2025-04-23,PQX-59844-04,6,3427.63,EFE,4
114,1762,2025-04-23,ORZ-56803-77,30,9574.37,EFE,4
