codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
103,8163,2025-05-22,NXM-72273-96,17,8339.17,CEX,4
114,2889,2025-05-22,YZK-06087-98,9,3367.54,CEX,4
121,6033,2025-05-22,SZJ-76414-24,13,10365.03,CEX,4
111,9127,2025-05-22,LEK-96807-82,0,0.0,CEX,4
114,4975,2025-05-22,GET-58791-09,36,18341.74,CEX,4
123,5354,2025-05-22,HGA-86693-42,36,18857.89,CEX,4
124,8024,2025-05-22,FHG-40571-57,40,29609.45,EFE,4
105,6102,2025-05-22,BWL-77714-70,20,6570.54,CEX,4
106,2286,2025-05-22,PQX-59844-04,0,0.0,EFE,4
106,8000,2025-05-22,ORZ-56803-77,2,1127.46,CEX,4
