codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
112,9217,2025-04-29,NXM-72273-96,30,13219.76,CEX,4
114,9131,2025-04-29,YZK-06087-98,9,5004.56,CEX,4
114,3439,2025-04-29,SZJ-76414-24,22,10378.26,CEX,4
112,3446,2025-04-29,LEK-96807-82,34,24663.16,CEX,4
114,1465,2025-04-29,GET-58791-09,22,15050.68,CEX,4
114,2175,2025-04-29,HGA-86693-42,18,8359.75,EFE,4
114,1283,2025-04-29,FHG-40571-57,18,14082.48,EFE,4
117,9344,2025-04-29,BWL-77714-70,1,558.35,CEX,4
117,7354,2025-04-29,PQX-59844-04,8,5134.33,CEX,4
111,8586,2025-04-29,ORZ-56803-77,2,1001.76,CEX,4
