codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
111,2400,2025-06-10,NXM-72273-96,15,8404.43,EFE,4
121,5348,2025-06-10,YZK-06087-98,44,33878.75,EFE,4
102,7757,2025-06-10,SZJ-76414-24,24,16056.9,CEX,4
115,2447,2025-06-10,LEK-96807-82,22,8946.58,EFE,4
107,5888,2025-06-10,GET-58791-09,43,29992.25,EFE,4
108,2940,2025-06-10,HGA-86693-42,38,15929.59,CEX,4
101,5478,2025-06-10,FHG-40571-57,13,8270.73,CEX,4
125,2399,2025-06-10,BWL-77714-70,24,12504.88,EFE,4
114,5834,2025-06-10,PQX-59844-04,29,15228.8,EFE,4
110,7665,2025-06-10,ORZ-56803-77,22,13616.23,CEX,4
