codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
104,5395,2025-05-09,NXM-72273-96,15,6271.32,EFE,4
122,9194,2025-05-09,YZK-06087-98,19,8532.56,EFE,4
112,2284,2025-05-09,SZJ-76414-24,10,3160.26,CEX,4
106,1420,2025-05-09,LEK-96807-82,42,14938.72,CEX,4
113,2075,2025-05-09,GET-58791-09,46,15692.36,EFE,4
124,2323,2025-05-09,HGA-86693-42,19,11500.93,CEX,4
103,5862,2025-05-09,FHG-40571-57,8,2708.99,EFE,4
104,6316,2025-05-09,BWL-77714-70,25,15966.48,EFE,4
123,1272,2025-05-09,PQX-59844-04,3,1007.64,EFE,4
123,3366,2025-05-09,ORZ-56803-77,11,5725.75,CEX,4
