codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
104,4392,2025-06-05,NXM-72273-96,28,13468.03,EFE,4
122,8976,2025-06-05,YZK-06087-98,30,9390.35,EFE,4
112,4654,2025-06-05,SZJ-76414-24,10,5812.23,CEX,4
101,6344,2025-06-05,LEK-96807-82,8,5693.64,EFE,4
122,4505,2025-06-05,GET-58791-09,0,0.0,EFE,4
116,1328,2025-06-05,HGA-86693-42,19,5721.96,EFE,4
119,9620,2025-06-05,FHG-40571-57,31,17919.88,EFE,4
104,8005,2025-06-05,BWL-77714-70,9,2731.46,CEX,4
114,3481,2025-06-05,PQX-59844-04,28,16541.62,CEX,4
123,4415,2025-06-05,ORZ-56803-77,0,0.0,EFE,4
