codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
124,3551,2025-05-18,NXM-72273-96,29,11047.65,EFE,4
117,5127,2025-05-18,YZK-06087-98,37,11706.33,EFE,4
121,3899,2025-05-18,SZJ-76414-24,45,29060.89,EFE,4
106,7597,2025-05-18,LEK-96807-82,32,16349.46,CEX,4
103,1195,2025-05-18,GET-58791-09,37,21026.74,CEX,4
118,9828,2025-05-18,HGA-86693-42,7,4671.05,CEX,4
106,2219,2025-05-18,FHG-40571-57,7,3614.1,EFE,4
114,4589,2025-05-18,BWL-77714-70,38,25202.23,CEX,4
106,5694,2025-05-18,PQX-59844-04,12,6272.76,EFE,4
114,3274,2025-05-18,ORZ-56803-77,2,919.58,EFE,4
