codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
101,7321,2025-04-16,NXM-72273-96,44,26261.69,CEX,4
119,7203,2025-04-16,YZK-06087-98,34,25835.34,EFE,4
114,4130,2025-04-16,SZJ-76414-24,9,4740.26,EFE,4
117,3615,2025-04-16,LEK-96807-82,12,4888.99,EFE,4
120,1125,2025-04-16,GET-58791-09,25,8238.02,EFE,4
124,7875,2025-04-16,HGA-86693-42,26,10997.74,EFE,4
106,5138,2025-04-16,FHG-40571-57,26,13965.55,EFE,4
118,9001,2025-04-16,BWL-77714-70,30,15907.46,CEX,4
120,9514,2025-04-16,PQX-59844-04,1,352.28,EFE,4
121,6731,2025-04-16,ORZ-56803-77,11,5976.07,EFE,4
