codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
118,7178,2025-04-20,NXM-72273-96,22,14834.51,CEX,4
101,9403,2025-04-20,YZK-06087-98,13,8801.57,CEX,4
104,6756,2025-04-20,SZJ-76414-24,47,23856.92,EFE,4
109,5396,2025-04-20,LEK-96807-82,13,8956.3,EFE,4
111,2826,2025-04-20,GET-58791-09,31,12098.39,CEX,4
108,7462,2025-04-20,HGA-86693-42,10,3976.21,EFE,4
114,2883,2025-04-20,FHG-40571-57,9,4633.38,EFE,4
124,6170,2025-04-20,BWL-77714-70,22,6792.07,CEX,4
124,3262,2025-04-20,PQX-59844-04,1,353.2,EFE,4
124,1571,2025-04-20,ORZ-56803-77,8,4409.59,CEX,4
