codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
114,5059,2025-05-05,NXM-72273-96,46,31149.05,EFE,4
114,5146,2025-05-05,YZK-06087-98,38,21978.69,CEX,4
102,3942,2025-05-05,SZJ-76414-24,12,6385.99,EFE,4
114,9041,2025-05-05,LEK-96807-82,43,17612.0,EFE,4
119,9935,2025-05-05,GET-58791-09,1,629.43,EFE,4
110,8164,2025-05-05,HGA-86693-42,11,4627.41,CEX,4
111,1358,2025-05-05,FHG-40571-57,1,663.9,CEX,4
122,2326,2025-05-05,BWL-77714-70,12,5797.81,CEX,4
118,6712,2025-05-05,PQX-59844-04,13,8734.45,EFE,4
101,1030,2025-05-05,ORZ-56803-77,17,10681.88,CEX,4
