codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
120,3015,2025-05-03,NXM-72273-96,3,1892.76,CEX,4
111,2304,2025-05-03,YZK-06087-98,1,584.22,CEX,4
115,1333,2025-05-03,SZJ-76414-24,35,13294.0,CEX,4
124,5410,2025-05-03,LEK-96807-82,9,3449.43,EFE,4
108,5203,2025-05-03,GET-58791-09,47,29713.29,EFE,4
118,9285,2025-05-03,HGA-86693-42,9,5534.77,EFE,4
116,7900,2025-05-03,FHG-40571-57,47,16443.11,EFE,4
117,8713,2025-05-03,BWL-77714-70,11,7789.58,CEX,4
113,1069,2025-05-03,PQX-59844-04,2,1159.64,CEX,4
107,1238,2025-05-03,ORZ-56803-77,5,3635.16,EFE,4
