codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
41,9708,2025-04-25,NXM-72273-96,3,958.36,CEX,1
29,5271,2025-04-25,YZK-06087-98,15,8230.74,EFE,1
35,6859,2025-04-25,SZJ-76414-24,20,11407.86,CEX,1
30,9895,2025-04-25,LEK-96807-82,38,11779.57,EFE,1
38,3897,2025-04-25,GET-58791-09,3,1770.95,EFE,1
29,8154,2025-04-25,HGA-86693-42,3,2346.57,EFE,1
45,9602,2025-04-25,FHG-40571-57,18,11850.15,CEX,1
45,4542,2025-04-25,BWL-77714-70,31,12295.88,CEX,1
38,8039,2025-04-25,PQX-59844-04,3,2135.32,CEX,1
35,8499,2025-04-25,ORZ-56803-77,38,16593.83,EFE,1
