codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
28,4514,2025-06-08,NXM-72273-96,34,17190.29,CEX,1
33,6686,2025-06-08,YZK-06087-98,10,3937.46,CEX,1
47,1224,2025-06-08,SZJ-76414-24,36,17356.92,EFE,1
46,5267,2025-06-08,LEK-96807-82,13,7993.59,CEX,1
48,1209,2025-06-08,GET-58791-09,26,9482.97,EFE,1
29,6330,2025-06-08,HGA-86693-42,41,22042.16,CEX,1
34,3955,2025-06-08,FHG-40571-57,42,21560.87,CEX,1
31,5267,2025-06-08,BWL-77714-70,19,11540.36,EFE,1
28,4012,2025-06-08,PQX-59844-04,37,19634.18,EFE,1
37,6899,2025-06-08,ORZ-56803-77,37,20245.08,EFE,1
