codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
43,5517,2025-05-12,NXM-72273-96,2,1495.2,EFE,1
31,2093,2025-05-12,YZK-06087-98,20,6252.87,CEX,1
38,1478,2025-05-12,SZJ-76414-24,20,9181.83,EFE,1
41,5806,2025-05-12,LEK-96807-82,21,14080.83,CEX,1
41,4542,2025-05-12,GET-58791-09,30,19276.03,EFE,1
45,5619,2025-05-12,HGA-86693-42,37,17745.11,EFE,1
31,2405,2025-05-12,FHG-40571-57,43,24612.15,EFE,1
43,6832,2025-05-12,BWL-77714-70,24,11691.78,CEX,1
33,4786,2025-05-12,PQX-59844-04,38,17677.87,CEX,1
44,9155,2025-05-12,ORZ-56803-77,20,10737.61,CEX,1
