codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
32,1171,2025-06-01,NXM-72273-96,25,16940.38,CEX,1
35,2992,2025-06-01,YZK-06087-98,20,7931.91,CEX,1
37,8749,2025-06-01,SZJ-76414-24,3,1926.09,CEX,1
35,8238,2025-06-01,LEK-96807-82,10,7193.8,EFE,1
32,9330,2025-06-01,GET-58791-09,18,11982.29,CEX,1
27,3931,2025-06-01,HGA-86693-42,9,6958.07,EFE,1
26,4949,2025-06-01,FHG-40571-57,24,7517.04,CEX,1
36,8881,2025-06-01,BWL-77714-70,29,13414.12,CEX,1
41,8491,2025-06-01,PQX-59844-04,33,10801.63,EFE,1
33,2213,2025-06-01,ORZ-56803-77,14,8534.39,CEX,1
