codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
40,6904,2025-05-15,NXM-72273-96,21,10263.5,CEX,1
48,5877,2025-05-15,YZK-06087-98,19,12838.83,EFE,1
34,4113,2025-05-15,SZJ-76414-24,17,12515.45,CEX,1
27,9550,2025-05-15,LEK-96807-82,14,5343.6,CEX,1
29,7123,2025-05-15,GET-58791-09,14,7717.17,CEX,1
37,5399,2025-05-15,HGA-86693-42,24,8355.55,CEX,1
35,4368,2025-05-15,FHG-40571-57,24,11662.03,CEX,1
42,7472,2025-05-15,BWL-77714-70,36,12973.62,CEX,1
27,1238,2025-05-15,PQX-59844-04,11,7840.22,CEX,1
49,5717,2025-05-15,ORZ-56803-77,16,8644.16,EFE,1
