codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
46,6780,2025-04-17,NXM-72273-96,35,20296.34,EFE,1
46,7078,2025-04-17,YZK-06087-98,22,12781.92,CEX,1
49,1800,2025-04-17,SZJ-76414-24,11,5008.75,EFE,1
31,8636,2025-04-17,LEK-96807-82,25,17054.22,EFE,1
37,4963,2025-04-17,GET-58791-09,46,23818.22,CEX,1
37,3127,2025-04-17,HGA-86693-42,44,22396.92,CEX,1
45,6676,2025-04-17,FHG-40571-57,8,2919.06,EFE,1
37,1689,2025-04-17,BWL-77714-70,11,8191.96,EFE,1
30,6111,2025-04-17,PQX-59844-04,16,5162.58,EFE,1
38,9394,2025-04-17,ORZ-56803-77,40,30277.72,EFE,1
