codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
146,7110,2025-05-06,NXM-72273-96,41,13488.6,CEX,5
137,7921,2025-05-06,YZK-06087-98,17,12107.63,CEX,5
139,4797,2025-05-06,SZJ-76414-24,11,6629.01,CEX,5
137,2278,2025-05-06,LEK-96807-82,22,15666.35,EFE,5
131,9678,2025-05-06,GET-58791-09,12,3757.84,CEX,5
146,8611,2025-05-06,HGA-86693-42,13,9331.72,EFE,5
143,9635,2025-05-06,FHG-40571-57,17,5107.12,CEX,5
145,9402,2025-05-06,BWL-77714-70,43,17686.19,EFE,5
126,7548,2025-05-06,PQX-59844-04,15,10563.9,CEX,5
149,2934,2025-05-06,ORZ-56803-77,15,6029.09,EFE,5
