codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
145,1887,2025-04-20,NXM-72273-96,39,21251.47,EFE,5
126,2337,2025-04-20,YZK-06087-98,26,18048.4,CEX,5
141,3714,2025-04-20,SZJ-76414-24,17,12821.01,CEX,5
127,7807,2025-04-20,LEK-96807-82,0,0.0,EFE,5
133,8407,2025-04-20,GET-58791-09,14,7139.09,EFE,5
132,3062,2025-04-20,HGA-86693-42,40,14684.22,CEX,5
126,4562,2025-04-20,FHG-40571-57,13,8498.34,EFE,5
146,9304,2025-04-20,BWL-77714-70,24,7809.53,CEX,5
126,5023,2025-04-20,PQX-59844-04,35,14795.3,EFE,5
131,4742,2025-04-20,ORZ-56803-77,14,10384.7,EFE,5
