codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
130,3820,2025-04-28,NXM-72273-96,15,6360.49,CEX,5
140,4262,2025-04-28,YZK-06087-98,15,11293.02,CEX,5
148,7899,2025-04-28,SZJ-76414-24,38,11470.85,CEX,5
128,6555,2025-04-28,LEK-96807-82,18,11268.27,EFE,5
140,4158,2025-04-28,GET-58791-09,20,6019.07,EFE,5
129,7851,2025-04-28,HGA-86693-42,13,5175.21,EFE,5
144,1086,2025-04-28,FHG-40571-57,3,1210.84,CEX,5
146,3712,2025-04-28,BWL-77714-70,0,0.0,CEX,5
138,2533,2025-04-28,PQX-59844-04,14,4248.16,CEX,5
130,8057,2025-04-28,ORZ-56803-77,11,5275.19,EFE,5
