codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
144,4400,2025-05-05,NXM-72273-96,21,9129.33,EFE,5
126,1390,2025-05-05,YZK-06087-98,47,24170.36,EFE,5
132,2647,2025-05-05,SZJ-76414-24,18,12443.1,CEX,5
139,3015,2025-05-05,LEK-96807-82,26,13256.18,CEX,5
148,3521,2025-05-05,GET-58791-09,3,1460.83,CEX,5
147,4923,2025-05-05,HGA-86693-42,42,21460.54,EFE,5
150,1782,2025-05-05,FHG-40571-57,2,1508.51,CEX,5
143,9496,2025-05-05,BWL-77714-70,6,2763.13,EFE,5
149,3192,2025-05-05,PQX-59844-04,39,11992.78,EFE,5
128,1465,2025-05-05,ORZ-56803-77,22,12902.11,CEX,5
