codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
150,5527,2025-06-04,NXM-72273-96,33,23139.69,CEX,5
127,1006,2025-06-04,YZK-06087-98,29,14936.63,CEX,5
150,4065,2025-06-04,SZJ-76414-24,4,2008.42,EFE,5
131,2492,2025-06-04,LEK-96807-82,27,12805.81,EFE,5
138,2209,2025-06-04,GET-58791-09,1,423.67,EFE,5
126,7848,2025-06-04,HGA-86693-42,17,6543.17,EFE,5
149,4124,2025-06-04,FHG-40571-57,36,15955.03,EFE,5
138,8553,2025-06-04,BWL-77714-70,2,631.95,CEX,5
149,7065,2025-06-04,PQX-59844-04,29,14661.67,CEX,5
126,1599,2025-06-04,ORZ-56803-77,15,5932.73,EFE,5
