codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
149,7525,2025-05-03,NXM-72273-96,44,12949.34,CEX,5
143,7889,2025-05-03,YZK-06087-98,3,1684.56,CEX,5
141,3565,2025-05-03,SZJ-76414-24,22,6861.88,CEX,5
148,7486,2025-05-03,LEK-96807-82,40,16403.48,EFE,5
135,1705,2025-05-03,GET-58791-09,10,6193.36,CEX,5
131,5220,2025-05-03,HGA-86693-42,3,2038.45,EFE,5
143,4428,2025-05-03,FHG-40571-57,47,16794.21,CEX,5
134,7176,2025-05-03,BWL-77714-70,46,29865.05,CEX,5
140,8084,2025-05-03,PQX-59844-04,46,27915.94,EFE,5
149,8272,2025-05-03,ORZ-56803-77,20,15508.62,CEX,5
