codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
135,1043,2025-04-13,NXM-72273-96,6,3397.73,EFE,5
148,1492,2025-04-13,YZK-06087-98,19,14559.43,CEX,5
132,1550,2025-04-13,SZJ-76414-24,3,2203.17,CEX,5
147,4208,2025-04-13,LEK-96807-82,16,8927.11,CEX,5
130,7388,2025-04-13,GET-58791-09,1,367.12,CEX,5
133,2118,2025-04-13,HGA-86693-42,20,10663.74,EFE,5
141,4718,2025-04-13,FHG-40571-57,11,6738.52,EFE,5
140,1930,2025-04-13,BWL-77714-70,16,6119.07,EFE,5
132,5320,2025-04-13,PQX-59844-04,33,15763.69,EFE,5
147,3498,2025-04-13,ORZ-56803-77,25,17649.99,CEX,5
