codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
118,2025-05-17,NXM-72273-96,Leche,18,UNI,4
117,2025-05-17,YZK-06087-98,Pan,67,UNI,4
106,2025-05-17,SZJ-76414-24,Arroz,3,PAQ,4
103,2025-05-17,LEK-96807-82,Azúcar,62,UNI,4
121,2025-05-17,GET-58791-09,Aceite,27,UNI,4
117,2025-05-17,HGA-86693-42,Harina,26,UNI,4
101,2025-05-17,FHG-40571-57,Sal,2,UNI,4
115,2025-05-17,BWL-77714-70,Café,29,UNI,4
111,2025-05-17,PQX-59844-04,Té,0,PAQ,4
120,2025-05-17,ORZ-56803-77,Galletas,37,UNI,4
