codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
104,2025-06-05,NXM-72273-96,Leche,0,PAQ,4
122,2025-06-05,YZK-06087-98,Pan,78,UNI,4
112,2025-06-05,SZJ-76414-24,Arroz,88,UNI,4
101,2025-06-05,LEK-96807-82,Azúcar,3,PAQ,4
122,2025-06-05,GET-58791-09,Aceite,9,PAQ,4
116,2025-06-05,HGA-86693-42,Harina,111,UNI,4
119,2025-06-05,FHG-40571-57,Sal,103,UNI,4
104,2025-06-05,BWL-77714-70,Café,2,PAQ,4
114,2025-06-05,PQX-59844-04,Té,8,PAQ,4
123,2025-06-05,ORZ-56803-77,Galletas,25,PAQ,4
