codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
102,2025-05-30,NXM-72273-96,Leche,10,PAQ,4
109,2025-05-30,YZK-06087-98,Pan,28,PAQ,4
112,2025-05-30,SZJ-76414-24,Arroz,48,UNI,4
122,2025-05-30,LEK-96807-82,Azúcar,21,UNI,4
110,2025-05-30,GET-58791-09,Aceite,5,PAQ,4
104,2025-05-30,HGA-86693-42,Harina,23,PAQ,4
107,2025-05-30,FHG-40571-57,Sal,21,PAQ,4
109,2025-05-30,BWL-77714-70,Café,49,UNI,4
111,2025-05-30,PQX-59844-04,Té,26,UNI,4
105,2025-05-30,ORZ-56803-77,Galletas,14,PAQ,4
