codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
124,2025-06-06,NXM-72273-96,Leche,7,PAQ,4
109,2025-06-06,YZK-06087-98,Pan,3,PAQ,4
117,2025-06-06,SZJ-76414-24,Arroz,15,PAQ,4
106,2025-06-06,LEK-96807-82,Azúcar,0,PAQ,4
111,2025-06-06,GET-58791-09,Aceite,17,PAQ,4
103,2025-06-06,HGA-86693-42,Harina,25,PAQ,4
124,2025-06-06,FHG-40571-57,Sal,33,PAQ,4
109,2025-06-06,BWL-77714-70,Café,62,UNI,4
115,2025-06-06,PQX-59844-04,Té,30,PAQ,4
115,2025-06-06,ORZ-56803-77,Galletas,24,UNI,4
