codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
102,2025-04-24,NXM-72273-96,Leche,1,PAQ,4
101,2025-04-24,YZK-06087-98,Pan,0,UNI,4
104,2025-04-24,SZJ-76414-24,Arroz,8,UNI,4
123,2025-04-24,LEK-96807-82,Azúcar,20,UNI,4
123,2025-04-24,GET-58791-09,Aceite,0,PAQ,4
123,2025-04-24,HGA-86693-42,Harina,15,UNI,4
119,2025-04-24,FHG-40571-57,Sal,0,PAQ,4
104,2025-04-24,BWL-77714-70,Café,0,UNI,4
107,2025-04-24,PQX-59844-04,Té,0,UNI,4
103,2025-04-24,ORZ-56803-77,Galletas,4,PAQ,4
