codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
119,2025-04-26,NXM-72273-96,Leche,0,UNI,4
102,2025-04-26,YZK-06087-98,Pan,0,UNI,4
114,2025-04-26,SZJ-76414-24,Arroz,6,UNI,4
115,2025-04-26,LEK-96807-82,Azúcar,0,PAQ,4
119,2025-04-26,GET-58791-09,Aceite,1,PAQ,4
110,2025-04-26,HGA-86693-42,Harina,0,UNI,4
119,2025-04-26,FHG-40571-57,Sal,8,UNI,4
118,2025-04-26,BWL-77714-70,Café,0,UNI,4
103,2025-04-26,PQX-59844-04,Té,25,UNI,4
111,2025-04-26,ORZ-56803-77,Galletas,0,UNI,4
