codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
111,2025-05-28,NXM-72273-96,Leche,16,UNI,4
125,2025-05-28,YZK-06087-98,Pan,13,PAQ,4
122,2025-05-28,SZJ-76414-24,Arroz,11,PAQ,4
113,2025-05-28,LEK-96807-82,Azúcar,11,PAQ,4
103,2025-05-28,GET-58791-09,Aceite,5,PAQ,4
109,2025-05-28,HGA-86693-42,Harina,24,UNI,4
103,2025-05-28,FHG-40571-57,Sal,48,UNI,4
120,2025-05-28,BWL-77714-70,Café,75,UNI,4
120,2025-05-28,PQX-59844-04,Té,2,UNI,4
118,2025-05-28,ORZ-56803-77,Galletas,6,PAQ,4
