codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
123,2025-05-25,NXM-72273-96,Leche,105,UNI,4
107,2025-05-25,YZK-06087-98,Pan,76,UNI,4
112,2025-05-25,SZJ-76414-24,Arroz,0,PAQ,4
113,2025-05-25,LEK-96807-82,Azúcar,4,UNI,4
124,2025-05-25,GET-58791-09,Aceite,18,PAQ,4
116,2025-05-25,HGA-86693-42,Harina,17,PAQ,4
109,2025-05-25,FHG-40571-57,Sal,43,UNI,4
114,2025-05-25,BWL-77714-70,Café,102,UNI,4
101,2025-05-25,PQX-59844-04,Té,74,UNI,4
119,2025-05-25,ORZ-56803-77,Galletas,74,UNI,4
