codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
32,2025-06-01,NXM-72273-96,Leche,17,UNI,1
35,2025-06-01,YZK-06087-98,Pan,5,PAQ,1
37,2025-06-01,SZJ-76414-24,Arroz,10,PAQ,1
35,2025-06-01,LEK-96807-82,Azúcar,17,PAQ,1
32,2025-06-01,GET-58791-09,Aceite,7,PAQ,1
27,2025-06-01,HGA-86693-42,Harina,77,UNI,1
26,2025-06-01,FHG-40571-57,Sal,14,PAQ,1
36,2025-06-01,BWL-77714-70,Café,60,UNI,1
41,2025-06-01,PQX-59844-04,Té,28,UNI,1
33,2025-06-01,ORZ-56803-77,Galletas,78,UNI,1
