codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
43,2025-05-12,NXM-72273-96,Leche,9,PAQ,1
31,2025-05-12,YZK-06087-98,Pan,68,UNI,1
38,2025-05-12,SZJ-76414-24,Arroz,0,PAQ,1
41,2025-05-12,LEK-96807-82,Azúcar,19,UNI,1
41,2025-05-12,GET-58791-09,Aceite,41,UNI,1
45,2025-05-12,HGA-86693-42,Harina,50,UNI,1
31,2025-05-12,FHG-40571-57,Sal,0,UNI,1
43,2025-05-12,BWL-77714-70,Café,67,UNI,1
33,2025-05-12,PQX-59844-04,Té,26,UNI,1
44,2025-05-12,ORZ-56803-77,Galletas,19,UNI,1
