codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
45,2025-05-25,NXM-72273-96,Leche,29,UNI,1
49,2025-05-25,YZK-06087-98,Pan,20,PAQ,1
40,2025-05-25,SZJ-76414-24,Arroz,11,PAQ,1
41,2025-05-25,LEK-96807-82,Azúcar,21,UNI,1
44,2025-05-25,GET-58791-09,Aceite,5,PAQ,1
47,2025-05-25,HGA-86693-42,Harina,80,UNI,1
36,2025-05-25,FHG-40571-57,Sal,22,PAQ,1
47,2025-05-25,BWL-77714-70,Café,2,PAQ,1
38,2025-05-25,PQX-59844-04,Té,26,PAQ,1
44,2025-05-25,ORZ-56803-77,Galletas,115,UNI,1
