codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
50,2025-05-17,NXM-72273-96,Leche,61,UNI,1
29,2025-05-17,YZK-06087-98,Pan,0,PAQ,1
33,2025-05-17,SZJ-76414-24,Arroz,78,UNI,1
34,2025-05-17,LEK-96807-82,Azúcar,21,UNI,1
47,2025-05-17,GET-58791-09,Aceite,4,PAQ,1
41,2025-05-17,HGA-86693-42,Harina,7,UNI,1
43,2025-05-17,FHG-40571-57,Sal,7,PAQ,1
45,2025-05-17,BWL-77714-70,Café,2,UNI,1
41,2025-05-17,PQX-59844-04,Té,4,PAQ,1
38,2025-05-17,ORZ-56803-77,Galletas,2,UNI,1
