codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
45,2025-04-30,NXM-72273-96,Leche,0,UNI,1
29,2025-04-30,YZK-06087-98,Pan,11,UNI,1
46,2025-04-30,SZJ-76414-24,Arroz,22,UNI,1
43,2025-04-30,LEK-96807-82,Azúcar,0,UNI,1
38,2025-04-30,GET-58791-09,Aceite,9,PAQ,1
50,2025-04-30,HGA-86693-42,Harina,0,UNI,1
49,2025-04-30,FHG-40571-57,Sal,10,UNI,1
27,2025-04-30,BWL-77714-70,Café,0,PAQ,1
37,2025-04-30,PQX-59844-04,Té,14,PAQ,1
26,2025-04-30,ORZ-56803-77,Galletas,0,PAQ,1
