codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
49,2025-05-30,NXM-72273-96,Leche,11,PAQ,1
32,2025-05-30,YZK-06087-98,Pan,44,UNI,1
48,2025-05-30,SZJ-76414-24,Arroz,24,PAQ,1
49,2025-05-30,LEK-96807-82,Azúcar,46,UNI,1
46,2025-05-30,GET-58791-09,Aceite,19,PAQ,1
50,2025-05-30,HGA-86693-42,Harina,19,PAQ,1
37,2025-05-30,FHG-40571-57,Sal,10,PAQ,1
44,2025-05-30,BWL-77714-70,Café,98,UNI,1
49,2025-05-30,PQX-59844-04,Té,40,UNI,1
33,2025-05-30,ORZ-56803-77,Galletas,0,PAQ,1
