codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
32,2025-06-07,NXM-72273-96,Leche,118,UNI,1
38,2025-06-07,YZK-06087-98,Pan,9,PAQ,1
31,2025-06-07,SZJ-76414-24,Arroz,14,PAQ,1
31,2025-06-07,LEK-96807-82,Azúcar,64,UNI,1
44,2025-06-07,GET-58791-09,Aceite,33,PAQ,1
38,2025-06-07,HGA-86693-42,Harina,74,UNI,1
43,2025-06-07,FHG-40571-57,Sal,35,PAQ,1
33,2025-06-07,BWL-77714-70,Café,3,PAQ,1
36,2025-06-07,PQX-59844-04,Té,111,UNI,1
32,2025-06-07,ORZ-56803-77,Galletas,38,UNI,1
