codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
97,1924,2025-04-29,NXM-72273-96,6,1935.7,CEX,3
96,6797,2025-04-29,YZK-06087-98,10,6580.8,CEX,3
80,7343,2025-04-29,SZJ-76414-24,8,4679.3,EFE,3
84,7507,2025-04-29,LEK-96807-82,15,11715.09,CEX,3
87,8956,2025-04-29,GET-58791-09,6,4611.56,EFE,3
98,1549,2025-04-29,HGA-86693-42,31,12808.96,EFE,3
87,2428,2025-04-29,FHG-40571-57,27,9211.61,CEX,3
90,1569,2025-04-29,BWL-77714-70,16,10324.07,CEX,3
77,7374,2025-04-29,PQX-59844-04,18,9428.37,EFE,3
99,4556,2025-04-29,ORZ-56803-77,18,13210.13,CEX,3
