codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
80,4598,2025-04-17,NXM-72273-96,1,679.46,CEX,3
84,2457,2025-04-17,YZK-06087-98,18,11951.58,CEX,3
83,3597,2025-04-17,SZJ-76414-24,44,24723.68,CEX,3
78,5842,2025-04-17,LEK-96807-82,5,3593.18,CEX,3
76,2296,2025-04-17,GET-58791-09,0,0.0,EFE,3
78,6291,2025-04-17,HGA-86693-42,3,2368.52,EFE,3
77,9562,2025-04-17,FHG-40571-57,38,15959.47,EFE,3
98,5872,2025-04-17,BWL-77714-70,8,3491.54,EFE,3
94,7966,2025-04-17,PQX-59844-04,21,13493.56,CEX,3
89,1008,2025-04-17,ORZ-56803-77,0,0.0,EFE,3
