codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
96,5468,2025-05-25,NXM-72273-96,20,12576.62,EFE,3
89,9115,2025-05-25,YZK-06087-98,27,13325.34,EFE,3
80,2787,2025-05-25,SZJ-76414-24,26,14342.98,CEX,3
93,1252,2025-05-25,LEK-96807-82,9,2856.2,EFE,3
83,1907,2025-05-25,GET-58791-09,1,427.42,CEX,3
76,3164,2025-05-25,HGA-86693-42,39,12046.13,CEX,3
98,6790,2025-05-25,FHG-40571-57,18,8450.58,CEX,3
98,5438,2025-05-25,BWL-77714-70,20,14785.11,CEX,3
77,6061,2025-05-25,PQX-59844-04,0,0.0,CEX,3
84,3116,2025-05-25,ORZ-56803-77,15,10559.07,CEX,3
