codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
93,9741,2025-05-16,NXM-72273-96,29,16126.59,CEX,3
100,9502,2025-05-16,YZK-06087-98,33,15923.54,CEX,3
97,3202,2025-05-16,SZJ-76414-24,21,7733.57,CEX,3
80,2669,2025-05-16,LEK-96807-82,5,2328.35,CEX,3
94,7362,2025-05-16,GET-58791-09,12,7366.32,CEX,3
81,7495,2025-05-16,HGA-86693-42,44,23008.35,EFE,3
83,3224,2025-05-16,FHG-40571-57,4,2523.12,CEX,3
77,9040,2025-05-16,BWL-77714-70,23,6676.29,CEX,3
83,4263,2025-05-16,PQX-59844-04,47,19749.06,EFE,3
93,2107,2025-05-16,ORZ-56803-77,16,8877.89,CEX,3
