codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
65,2025-05-04,NXM-72273-96,Leche,4,UNI,2
62,2025-05-04,YZK-06087-98,Pan,3,PAQ,2
72,2025-05-04,SZJ-76414-24,Arroz,0,PAQ,2
68,2025-05-04,LEK-96807-82,Azúcar,0,PAQ,2
64,2025-05-04,GET-58791-09,Aceite,14,UNI,2
51,2025-05-04,HGA-86693-42,Harina,27,UNI,2
63,2025-05-04,FHG-40571-57,Sal,1,PAQ,2
75,2025-05-04,BWL-77714-70,Café,0,PAQ,2
57,2025-05-04,PQX-59844-04,Té,0,PAQ,2
59,2025-05-04,ORZ-56803-77,Galletas,0,UNI,2
