codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
65,2025-05-20,NXM-72273-96,Leche,28,UNI,2
59,2025-05-20,YZK-06087-98,Pan,0,PAQ,2
67,2025-05-20,SZJ-76414-24,Arroz,22,PAQ,2
58,2025-05-20,LEK-96807-82,Azúcar,26,UNI,2
68,2025-05-20,GET-58791-09,Aceite,77,UNI,2
59,2025-05-20,HGA-86693-42,Harina,17,PAQ,2
56,2025-05-20,FHG-40571-57,Sal,107,UNI,2
55,2025-05-20,BWL-77714-70,Café,17,PAQ,2
71,2025-05-20,PQX-59844-04,Té,15,PAQ,2
61,2025-05-20,ORZ-56803-77,Galletas,5,UNI,2
